Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2019-2020,EPL,156,Christian Fuchs,at AUT,DF,Leicester City,33,1986,11,8,772,0,0,0,0,0,0
2019-2020,EPL,157,Eric García,es ESP,DF,Manchester City,18,2001,13,8,793,0,0,0,0,1,0
2019-2020,EPL,158,James Garner,eng ENG,MF,Manchester Utd,18,2001,1,0,9,0,0,0,0,0,0
2019-2020,EPL,159,Dwight Gayle,eng ENG,FW,Newcastle Utd,28,1990,20,10,850,4,2,0,0,2,0
2019-2020,EPL,160,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,"1,613",0,0,0,0,1,0
2019-2020,EPL,161,Jean-Philippe Gbamin,ci CIV,MF,Everton,23,1995,2,1,136,0,0,0,0,0,0
2019-2020,EPL,162,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,38,"3,420",0,0,0,0,2,0
2019-2020,EPL,163,Anwar El Ghazi,nl NED,"FW,MF",Aston Villa,24,1995,34,26,"2,051",4,4,1,1,3,0
2019-2020,EPL,164,Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,19,2000,7,1,129,0,0,0,0,0,0
2019-2020,EPL,165,Billy Gilmour,sco SCO,MF,Chelsea,18,2001,6,2,194,0,0,0,0,0,0
2019-2020,EPL,166,Olivier Giroud,fr FRA,FW,Chelsea,32,1986,18,12,993,8,0,0,0,1,0
2019-2020,EPL,167,Ben Godfrey,eng ENG,DF,Norwich City,21,1998,30,30,"2,644",0,0,0,0,3,1
2019-2020,EPL,168,André Gomes,pt POR,MF,Everton,26,1993,19,17,"1,458",0,1,0,0,6,0
2019-2020,EPL,169,Angel Gomes,eng ENG,MF,Manchester Utd,18,2000,2,0,21,0,0,0,0,0,0
2019-2020,EPL,170,Joe Gomez,eng ENG,DF,Liverpool,22,1997,28,22,"2,004",0,0,0,0,7,0
2019-2020,EPL,171,Anthony Gordon,eng ENG,"MF,FW",Everton,18,2001,11,4,440,0,1,0,0,0,0
2019-2020,EPL,172,Dan Gosling,eng ENG,MF,Bournemouth,29,1990,24,14,"1,264",3,1,0,0,3,0
2019-2020,EPL,173,Andre Gray,eng ENG,FW,Watford,28,1991,23,7,755,2,0,0,0,1,0
2019-2020,EPL,174,Demarai Gray,eng ENG,"MF,FW",Leicester City,23,1996,21,3,622,2,3,0,1,1,0
2019-2020,EPL,175,Jack Grealish,eng ENG,"FW,MF",Aston Villa,23,1995,36,36,"3,233",8,6,0,1,8,0
2019-2020,EPL,176,Mason Greenwood,eng ENG,FW,Manchester Utd,17,2001,31,12,"1,320",10,1,0,0,0,0
2019-2020,EPL,177,Arnaut Groeneveld,nl NED,MF,Bournemouth,22,1997,14,6,630,0,0,0,0,0,0
2019-2020,EPL,178,Pascal Groß,de GER,"FW,MF",Brighton,28,1991,29,22,"1,796",2,4,0,0,4,0
2019-2020,EPL,179,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,35,"3,150",0,0,0,0,1,0
2019-2020,EPL,180,Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,24,19,"1,748",0,1,0,0,6,0
2019-2020,EPL,181,Frederic Guilbert,fr FRA,DF,Aston Villa,24,1994,25,22,"2,041",0,2,0,0,7,0
2019-2020,EPL,182,İlkay Gündoğan,de GER,MF,Manchester City,28,1990,31,21,"2,020",2,1,1,2,7,0
2019-2020,EPL,183,Angus Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,0,0,0,0,0,0
2019-2020,EPL,184,Sébastien Haller,fr FRA,FW,West Ham,25,1994,32,24,"2,266",7,1,0,0,1,0
2019-2020,EPL,185,Grant Hanley,sco SCO,DF,Norwich City,27,1991,15,14,"1,262",0,0,0,0,4,0
2019-2020,EPL,186,Kortney Hause,eng ENG,DF,Aston Villa,24,1995,18,17,"1,545",1,0,0,0,3,0
2019-2020,EPL,187,Isaac Hayden,eng ENG,MF,Newcastle Utd,24,1995,29,26,"2,223",1,2,0,0,4,1
2019-2020,EPL,188,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,"1,794",0,0,0,0,0,0
2019-2020,EPL,189,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,36,"3,240",0,0,0,0,2,0
2019-2020,EPL,190,Jordan Henderson,eng ENG,MF,Liverpool,29,1990,30,26,"2,238",4,5,0,0,2,0
2019-2020,EPL,191,Jeff Hendrick,ie IRL,MF,Burnley,27,1992,24,22,"1,931",2,2,0,0,8,0
2019-2020,EPL,192,Wayne Hennessey,wal WAL,GK,Crystal Palace,32,1987,3,3,270,0,0,0,0,0,0
2019-2020,EPL,193,Javier Hernández,mx MEX,FW,West Ham,31,1988,2,1,107,1,0,0,0,0,0
2019-2020,EPL,194,Onel Hernández,cu CUB,"FW,MF",Norwich City,26,1993,26,14,"1,384",1,2,0,0,0,0
2019-2020,EPL,195,Son Heung-min,kr KOR,"FW,MF",Tottenham,27,1992,30,28,"2,476",11,10,0,1,0,2
2019-2020,EPL,196,George Hirst,eng ENG,FW,Leicester City,20,1999,2,0,11,0,0,0,0,0,0
2019-2020,EPL,197,Rob Holding,eng ENG,DF,Arsenal,23,1995,8,6,581,0,0,0,0,1,0
2019-2020,EPL,198,José Holebas,gr GRE,DF,Watford,35,1984,14,11,"1,025",0,0,0,0,5,0
2019-2020,EPL,199,Mason Holgate,eng ENG,DF,Everton,22,1996,27,24,"2,054",0,3,0,0,5,0
2019-2020,EPL,200,Nathan Holland,eng ENG,MF,West Ham,21,1998,2,0,33,0,0,0,0,0,0
2019-2020,EPL,201,Conor Hourihane,ie IRL,MF,Aston Villa,28,1991,27,18,"1,534",3,5,0,0,4,0
2019-2020,EPL,202,Callum Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,22,7,863,1,5,0,0,1,0
2019-2020,EPL,203,Will Hughes,eng ENG,"MF,FW",Watford,24,1995,30,27,"2,252",1,1,0,0,9,0
2019-2020,EPL,204,Pierre Højbjerg,dk DEN,MF,Southampton,23,1995,33,30,"2,752",0,1,0,0,5,0
2019-2020,EPL,205,Jordon Ibe,eng ENG,DF,Bournemouth,23,1995,2,0,50,0,0,0,0,0,0
2019-2020,EPL,206,Adam Idah,ie IRL,"FW,MF",Norwich City,18,2001,12,1,228,0,0,0,0,0,0
2019-2020,EPL,207,Odion Ighalo,ng NGA,FW,Manchester Utd,30,1989,11,0,101,0,0,0,0,0,0
2019-2020,EPL,208,Kelechi Iheanacho,ng NGA,FW,Leicester City,22,1996,20,12,960,5,3,0,0,1,0
2019-2020,EPL,209,Danny Ings,eng ENG,FW,Southampton,27,1992,38,32,"2,804",22,2,1,2,3,0
2019-2020,EPL,210,Alex Iwobi,ng NGA,"MF,FW",Everton,23,1996,25,19,"1,596",1,0,0,0,0,0
2019-2020,EPL,211,Phil Jagielka,eng ENG,DF,Sheffield Utd,36,1982,6,2,244,0,0,0,0,0,0
2019-2020,EPL,212,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,25,1993,10,3,311,2,0,0,0,0,0
2019-2020,EPL,213,Daniel James,wal WAL,FW,Manchester Utd,21,1997,33,26,"2,287",3,6,0,0,4,0
2019-2020,EPL,214,Matty James,eng ENG,MF,Leicester City,28,1991,1,0,6,0,0,0,0,0,0
2019-2020,EPL,215,Reece James,eng ENG,DF,Chelsea,19,1999,24,16,"1,515",0,2,0,0,1,0
2019-2020,EPL,216,Daryl Janmaat,nl NED,DF,Watford,30,1989,8,7,607,0,1,0,0,1,0
2019-2020,EPL,217,Gabriel Jesus,br BRA,FW,Manchester City,22,1997,34,21,"2,030",14,7,0,1,3,0
2019-2020,EPL,218,Raúl Jiménez,mx MEX,FW,Wolves,28,1991,38,37,"3,236",17,6,4,4,3,0
2019-2020,EPL,219,Joelinton,br BRA,FW,Newcastle Utd,22,1996,38,32,"2,683",2,2,0,0,7,0
2019-2020,EPL,220,Ben Johnson,eng ENG,DF,West Ham,19,2000,3,3,270,0,0,0,0,0,0
2019-2020,EPL,221,Curtis Jones,eng ENG,MF,Liverpool,18,2001,6,1,126,1,0,0,0,0,0
2019-2020,EPL,222,Phil Jones,eng ENG,DF,Manchester Utd,27,1992,2,2,135,0,0,0,0,0,0
2019-2020,EPL,223,Bruno Jordão,pt POR,FW,Wolves,20,1998,1,0,7,0,0,0,0,0,0
2019-2020,EPL,224,Jorginho,it ITA,MF,Chelsea,27,1991,31,27,"2,379",4,2,3,3,10,0
2019-2020,EPL,225,Jota,es ESP,"FW,MF",Aston Villa,28,1991,10,4,335,0,1,0,0,0,0
2019-2020,EPL,226,Diogo Jota,pt POR,"FW,MF",Wolves,22,1996,34,27,"2,284",7,1,0,0,4,0
2019-2020,EPL,227,James Justin,eng ENG,DF,Leicester City,21,1998,13,11,"1,012",0,1,0,0,1,0
2019-2020,EPL,228,Christian Kabasele,be BEL,DF,Watford,28,1991,27,26,"2,250",0,2,0,0,3,2
2019-2020,EPL,229,Harry Kane,eng ENG,FW,Tottenham,26,1993,29,29,"2,587",18,2,2,2,4,0
2019-2020,EPL,230,N'Golo Kanté,fr FRA,MF,Chelsea,28,1991,22,20,"1,732",3,0,0,0,4,0
2019-2020,EPL,231,Moise Kean,it ITA,FW,Everton,19,2000,29,6,852,2,2,0,0,1,0
2019-2020,EPL,232,Michael Keane,eng ENG,DF,Everton,26,1993,31,28,"2,559",2,0,0,0,3,0
2019-2020,EPL,233,Naby Keïta,gn GUI,MF,Liverpool,24,1995,18,9,815,2,3,0,0,1,0
2019-2020,EPL,234,Lloyd Kelly,eng ENG,DF,Bournemouth,20,1998,8,7,639,0,0,0,0,2,0
2019-2020,EPL,235,Martin Kelly,eng ENG,DF,Crystal Palace,29,1990,19,17,"1,549",0,1,0,0,0,0
2019-2020,EPL,236,Max Kilman,eng ENG,DF,Wolves,22,1997,3,2,185,0,0,0,0,0,0
2019-2020,EPL,237,Joshua King,no NOR,"FW,MF",Bournemouth,27,1992,26,24,"2,011",6,4,3,3,0,0
2019-2020,EPL,238,Timm Klose,ch SUI,DF,Norwich City,31,1988,7,7,585,0,0,0,0,0,0
2019-2020,EPL,239,Jonathan Kodjia,ci CIV,"FW,MF",Aston Villa,29,1989,6,0,117,0,0,0,0,1,0
2019-2020,EPL,240,Sead Kolašinac,ba BIH,DF,Arsenal,26,1993,26,19,"1,701",0,2,0,0,4,0
2019-2020,EPL,241,Ezri Konsa,eng ENG,DF,Aston Villa,21,1997,25,24,"2,039",1,2,0,0,3,0
2019-2020,EPL,242,Cheikhou Kouyaté,sn SEN,"MF,DF",Crystal Palace,29,1989,35,29,"2,528",1,1,0,0,4,0
2019-2020,EPL,243,Mateo Kovačić,hr CRO,MF,Chelsea,25,1994,31,23,"2,073",1,3,0,0,8,0
2019-2020,EPL,244,Emil Krafth,se SWE,DF,Newcastle Utd,24,1994,17,11,"1,020",0,1,0,0,0,0
2019-2020,EPL,245,Tim Krul,nl NED,GK,Norwich City,31,1988,36,36,"3,240",0,0,0,0,4,0
2019-2020,EPL,246,Alexandre Lacazette,fr FRA,FW,Arsenal,28,1991,30,22,"1,874",10,4,0,0,8,0
2019-2020,EPL,247,Adam Lallana,eng ENG,"MF,FW",Liverpool,31,1988,15,3,382,1,1,0,0,1,0
2019-2020,EPL,248,Érik Lamela,ar ARG,"MF,FW",Tottenham,27,1992,25,12,"1,215",2,1,0,0,3,0
2019-2020,EPL,249,Tariq Lamptey,eng ENG,DF,Brighton,18,2000,8,7,588,0,1,0,0,2,0
2019-2020,EPL,250,Tariq Lamptey,eng ENG,DF,Chelsea,18,2000,1,0,32,0,0,0,0,0,0
2019-2020,EPL,251,Henri Lansbury,eng ENG,MF,Aston Villa,28,1990,10,2,195,0,0,0,0,0,0
2019-2020,EPL,252,Manuel Lanzini,ar ARG,"MF,FW",West Ham,26,1993,24,14,"1,379",0,2,0,0,1,0
2019-2020,EPL,253,Aymeric Laporte,fr FRA,DF,Manchester City,25,1994,15,14,"1,097",1,0,0,0,1,0
2019-2020,EPL,254,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,25,1993,24,24,"2,076",1,0,0,0,5,0
2019-2020,EPL,255,Valentino Lazaro,at AUT,"DF,MF",Newcastle Utd,23,1996,13,4,480,1,0,0,0,0,1
2019-2020,EPL,256,Moritz Leitner,de GER,MF,Norwich City,26,1992,9,7,685,0,0,0,0,1,0
2019-2020,EPL,257,Florian Lejeune,fr FRA,DF,Newcastle Utd,28,1991,6,4,442,2,0,0,0,0,0
2019-2020,EPL,258,Aaron Lennon,eng ENG,MF,Burnley,32,1987,16,4,496,0,0,0,0,4,0
2019-2020,EPL,259,Bernd Leno,de GER,GK,Arsenal,27,1992,30,30,"2,649",0,0,0,0,2,0
2019-2020,EPL,260,Jefferson Lerma,co COL,MF,Bournemouth,24,1994,33,31,"2,703",1,2,0,0,13,1
2019-2020,EPL,261,Jamal Lewis,nir NIR,DF,Norwich City,21,1998,28,25,"2,304",1,0,0,0,4,0
2019-2020,EPL,262,Victor Lindelöf,se SWE,DF,Manchester Utd,25,1994,35,35,"3,092",1,0,0,0,6,0
2019-2020,EPL,263,Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,26,1992,22,9,935,1,0,0,0,3,0
2019-2020,EPL,264,Hugo Lloris,fr FRA,GK,Tottenham,32,1986,21,21,"1,807",0,0,0,0,0,0
2019-2020,EPL,265,Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,23,1996,28,15,"1,492",0,2,0,0,6,0
2019-2020,EPL,266,Jürgen Locadia,nl NED,"MF,FW",Brighton,25,1993,2,1,86,0,0,0,0,0,0
2019-2020,EPL,267,Ruben Loftus-Cheek,eng ENG,"MF,FW",Chelsea,23,1996,7,2,208,0,1,0,0,0,0
2019-2020,EPL,268,Kevin Long,ie IRL,DF,Burnley,28,1990,8,6,564,0,0,0,0,0,0
2019-2020,EPL,269,Shane Long,ie IRL,FW,Southampton,32,1987,26,15,"1,395",2,2,0,0,0,0
2019-2020,EPL,270,Matthew Longstaff,eng ENG,MF,Newcastle Utd,19,2000,9,6,575,2,0,0,0,1,0
2019-2020,EPL,271,Sean Longstaff,eng ENG,MF,Newcastle Utd,21,1997,23,14,"1,378",1,1,0,0,2,1
