Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,La Liga,141,Óscar Duarte,cr CRC,DF,Espanyol,28,1989,11,11,990,0,0,0,0,1,0
2017-2018,La Liga,142,Rubén Duarte,es ESP,DF,Alavés,21,1995,24,24,"2,138",0,2,0,0,9,2
2017-2018,La Liga,143,Riza Durmisi,dk DEN,"DF,MF",Betis,23,1994,24,23,"2,080",2,2,0,0,4,0
2017-2018,La Liga,144,Hugo Duro,es ESP,FW,Getafe,17,1999,2,0,22,0,0,0,0,0,0
2017-2018,La Liga,145,Aritz Elustondo,es ESP,DF,Real Sociedad,23,1994,19,18,"1,594",3,2,0,0,1,0
2017-2018,La Liga,146,Rodrigo Ely,br BRA,DF,Alavés,23,1993,31,30,"2,691",1,1,0,0,11,2
2017-2018,La Liga,147,Youssef En-Nesyri,ma MAR,FW,Málaga,20,1997,25,16,"1,601",4,0,0,1,2,2
2017-2018,La Liga,148,Sergi Enrich,es ESP,FW,Eibar,27,1990,19,14,"1,332",3,1,1,1,2,0
2017-2018,La Liga,149,Javier Eraso,es ESP,"MF,FW",Leganés,27,1990,34,31,"2,527",4,3,0,0,4,0
2017-2018,La Liga,150,Gonzalo Escalante,ar ARG,MF,Eibar,24,1993,28,16,"1,574",1,0,0,0,3,0
2017-2018,La Liga,151,Sergio Escudero,es ESP,DF,Sevilla,27,1989,27,26,"2,333",0,2,0,0,10,0
2017-2018,La Liga,152,Bernardo Espinosa,co COL,DF,Girona,28,1989,34,32,"2,868",0,3,0,0,7,0
2017-2018,La Liga,153,Oghenekaro Etebo,ng NGA,MF,Las Palmas,21,1995,14,14,"1,215",0,0,0,0,3,0
2017-2018,La Liga,154,Beñat Etxebarria,es ESP,MF,Athletic Club,30,1987,24,12,"1,125",0,2,0,0,3,0
2017-2018,La Liga,155,Xabier Etxeita,es ESP,DF,Athletic Club,29,1987,5,5,375,1,0,0,0,2,0
2017-2018,La Liga,156,Edu Expósito,es ESP,MF,La Coruña,20,1996,3,0,97,0,0,0,0,1,0
2017-2018,La Liga,157,Erik Expósito,es ESP,FW,Las Palmas,21,1996,10,4,473,1,0,0,0,0,0
2017-2018,La Liga,158,Imoh Ezekiel,ng NGA,"FW,MF",Las Palmas,23,1993,10,5,467,0,0,0,0,0,0
2017-2018,La Liga,159,Fayçal Fajr,ma MAR,"MF,FW",Getafe,28,1988,31,26,"2,387",1,2,0,1,7,0
2017-2018,La Liga,160,Zouhair Feddal,ma MAR,DF,Betis,28,1989,15,14,"1,258",3,0,0,0,7,0
2017-2018,La Liga,161,Andrés Fernández,es ESP,GK,Villarreal,30,1986,3,3,225,0,0,0,0,0,0
2017-2018,La Liga,162,Augusto Fernández,ar ARG,"MF,FW",Atlético Madrid,31,1986,5,1,110,0,0,0,0,1,0
2017-2018,La Liga,163,Carlos Fernández,es ESP,FW,Sevilla,21,1996,2,2,135,1,0,0,0,0,0
2017-2018,La Liga,164,Enzo Fernández,es ESP,MF,Alavés,22,1995,2,1,70,0,0,0,0,0,0
2017-2018,La Liga,165,Raúl Fernández,es ESP,GK,Levante,29,1988,11,11,990,0,0,0,0,0,0
2017-2018,La Liga,166,Junior Firpo,es ESP,"DF,MF",Betis,20,1996,14,14,"1,189",2,2,0,0,4,0
2017-2018,La Liga,167,Mathieu Flamini,fr FRA,MF,Getafe,33,1984,8,6,481,0,0,0,0,2,2
2017-2018,La Liga,168,Andreu Fontàs,es ESP,DF,Celta Vigo,27,1989,12,9,884,0,1,0,0,2,0
2017-2018,La Liga,169,Pablo Fornals,es ESP,"MF,FW",Villarreal,21,1996,35,30,"2,615",3,9,0,0,4,0
2017-2018,La Liga,170,Javi Fuego,es ESP,MF,Espanyol,33,1984,17,17,"1,336",0,0,0,0,6,0
2017-2018,La Liga,171,Javi Fuego,es ESP,MF,Villarreal,33,1984,11,6,541,0,0,0,0,2,0
2017-2018,La Liga,172,Gabi,es ESP,MF,Atlético Madrid,34,1983,34,25,"2,354",0,0,0,0,8,0
2017-2018,La Liga,173,Gabriel,br BRA,MF,Leganés,23,1993,29,28,"2,370",5,2,1,1,6,0
2017-2018,La Liga,174,Nicolás Gaitán,ar ARG,"MF,FW",Atlético Madrid,29,1988,6,1,224,0,0,0,0,0,0
2017-2018,La Liga,175,Álex Gálvez,es ESP,DF,Las Palmas,28,1989,18,18,"1,618",0,0,0,0,5,1
2017-2018,La Liga,176,Álex Gálvez,es ESP,DF,Eibar,28,1989,4,4,360,1,0,0,0,1,0
2017-2018,La Liga,177,Bruno Gama,pt POR,"FW,MF",La Coruña,29,1987,6,1,118,0,0,0,0,1,0
2017-2018,La Liga,178,Kévin Gameiro,fr FRA,FW,Atlético Madrid,30,1987,25,11,"1,133",7,2,2,2,0,0
2017-2018,La Liga,179,Ganso,br BRA,MF,Sevilla,27,1989,8,7,515,2,1,0,0,0,0
2017-2018,La Liga,180,Ezequiel Garay,ar ARG,DF,Valencia,30,1986,24,23,"2,026",0,0,0,0,5,0
2017-2018,La Liga,181,Aleix García,es ESP,MF,Girona,20,1997,20,7,863,1,0,0,0,3,0
2017-2018,La Liga,182,Borja García,es ESP,"MF,FW",Girona,26,1990,37,34,"2,785",2,5,0,0,2,0
2017-2018,La Liga,183,Dani García,es ESP,MF,Eibar,27,1990,32,32,"2,769",0,1,0,0,14,0
2017-2018,La Liga,184,David García,es ESP,DF,Las Palmas,35,1982,11,9,861,1,0,0,0,2,0
2017-2018,La Liga,185,Javi García,es ESP,"MF,DF",Betis,30,1987,32,27,"2,405",1,0,0,0,7,0
2017-2018,La Liga,186,Manu García,es ESP,MF,Alavés,31,1986,30,27,"2,438",3,0,0,2,9,0
2017-2018,La Liga,187,Raúl García,es ESP,DF,Leganés,28,1989,19,15,"1,394",0,1,0,0,1,0
2017-2018,La Liga,188,Raúl García,es ESP,"MF,FW",Athletic Club,31,1986,34,30,"2,617",10,1,3,3,10,0
2017-2018,La Liga,189,Samu García,es ESP,"MF,FW",Málaga,27,1990,7,2,180,0,1,0,0,1,1
2017-2018,La Liga,190,Samu García,es ESP,"MF,FW",Levante,27,1990,11,2,196,0,0,0,0,1,0
2017-2018,La Liga,191,Sergio García,es ESP,"FW,MF",Espanyol,34,1983,33,14,"1,647",2,5,0,0,4,0
2017-2018,La Liga,192,Mario Gaspar,es ESP,DF,Villarreal,26,1990,32,31,"2,806",2,3,0,0,6,0
