Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,Bundesliga,188,Rouwen Hennings,de GER,FW,Düsseldorf,30,1987,29,19,"1,833",7,4,1,1,3,0
2018-2019,Bundesliga,189,Benjamin Henrichs,de GER,DF,Leverkusen,21,1997,1,1,63,0,0,0,0,1,0
2018-2019,Bundesliga,190,Patrick Herrmann,de GER,"FW,DF",M'Gladbach,27,1991,24,10,"1,079",3,2,0,0,1,0
2018-2019,Bundesliga,191,Martin Hinteregger,at AUT,DF,Eint Frankfurt,25,1992,14,14,"1,142",1,0,0,0,3,0
2018-2019,Bundesliga,192,Martin Hinteregger,at AUT,DF,Augsburg,25,1992,18,18,"1,575",2,0,0,0,0,0
2018-2019,Bundesliga,193,Marwin Hitz,ch SUI,GK,Dortmund,30,1987,2,2,180,0,0,0,0,1,0
2018-2019,Bundesliga,194,André Hoffmann,de GER,"DF,MF",Düsseldorf,25,1993,13,11,"1,049",0,0,0,0,4,0
2018-2019,Bundesliga,195,Nicolas Höfler,de GER,MF,Freiburg,28,1990,18,18,"1,615",0,0,0,0,6,0
2018-2019,Bundesliga,196,Jonas Hofmann,de GER,MF,M'Gladbach,26,1992,27,21,"1,911",5,5,1,2,2,0
2018-2019,Bundesliga,197,Lucas Höler,de GER,"FW,MF",Freiburg,24,1994,26,11,"1,006",4,0,0,0,0,0
2018-2019,Bundesliga,198,Gerrit Holtmann,de GER,"FW,MF",Mainz 05,23,1995,4,1,145,0,0,0,0,2,0
2018-2019,Bundesliga,199,Justin Hoogma,nl NED,"DF,MF",Hoffenheim,20,1998,2,1,111,0,0,0,0,0,0
2018-2019,Bundesliga,200,Lukáš Hrádecký,fi FIN,GK,Leverkusen,28,1989,32,32,"2,880",0,0,0,0,1,0
2018-2019,Bundesliga,201,Branimir Hrgota,se SWE,FW,Eint Frankfurt,25,1993,1,0,5,0,0,0,0,0,0
2018-2019,Bundesliga,202,Benjamin Hübner,de GER,DF,Hoffenheim,29,1989,10,9,813,0,0,0,0,2,0
2018-2019,Bundesliga,203,Mats Hummels,de GER,DF,Bayern Munich,29,1988,21,20,"1,775",1,1,0,0,1,0
2018-2019,Bundesliga,204,Vedad Ibišević,ba BIH,FW,Hertha BSC,33,1984,28,24,"1,807",10,2,1,1,5,1
2018-2019,Bundesliga,205,Ivo Iličević,hr CRO,MF,Nürnberg,31,1986,3,0,39,0,0,0,0,1,0
2018-2019,Bundesliga,206,Stefan Ilsanker,at AUT,"DF,MF",RB Leipzig,29,1989,19,10,933,0,0,0,0,5,1
2018-2019,Bundesliga,207,Emiliano Insúa,ar ARG,DF,Stuttgart,29,1989,27,24,"2,114",2,2,0,0,4,1
2018-2019,Bundesliga,208,Mikael Ishak,se SWE,FW,Nürnberg,25,1993,29,22,"1,917",4,3,1,2,1,0
2018-2019,Bundesliga,209,Gian-Luca Itter,de GER,DF,Wolfsburg,19,1999,2,1,94,0,0,0,0,0,0
2018-2019,Bundesliga,210,Koo Ja-cheol,kr KOR,"MF,FW",Augsburg,29,1989,26,19,"1,640",2,1,0,0,3,0
