Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,Bundesliga,209,Mats Hummels,de GER,DF,Bayern Munich,28,1988,26,25,"2,213",1,1,0,0,3,0
2017-2018,Bundesliga,210,Aaron Hunt,de GER,"MF,FW",Hamburger SV,30,1986,28,26,"2,081",3,2,1,1,1,0
2017-2018,Bundesliga,211,Vedad Ibišević,ba BIH,FW,Hertha BSC,32,1984,27,18,"1,452",6,4,2,2,4,1
2017-2018,Bundesliga,212,Stefan Ilsanker,at AUT,"DF,MF",RB Leipzig,28,1989,21,14,"1,289",0,1,0,0,3,1
2017-2018,Bundesliga,213,Emiliano Insúa,ar ARG,DF,Stuttgart,28,1989,25,24,"2,106",0,2,0,0,2,0
2017-2018,Bundesliga,214,Pablo Insua,es ESP,DF,Schalke 04,23,1993,1,0,27,0,0,0,0,1,0
2017-2018,Bundesliga,215,Alexander Isak,se SWE,"FW,MF",Dortmund,17,1999,5,1,119,0,0,0,0,0,0
2017-2018,Bundesliga,216,Tatsuya Ito,jp JPN,"MF,FW",Hamburger SV,20,1997,20,12,"1,012",0,2,0,0,1,0
2017-2018,Bundesliga,217,Gian-Luca Itter,de GER,DF,Wolfsburg,18,1999,5,5,412,0,0,0,0,1,0
2017-2018,Bundesliga,218,Koo Ja-cheol,kr KOR,"MF,FW",Augsburg,28,1989,28,23,"2,046",2,0,0,0,2,0
2017-2018,Bundesliga,219,Paul Jaeckel,de GER,DF,Wolfsburg,19,1998,3,3,270,0,0,0,0,0,0
2017-2018,Bundesliga,220,Kilian Jakob,de GER,FW,Augsburg,19,1998,1,1,50,0,0,0,0,0,0
2017-2018,Bundesliga,221,Vasilije Janjicic,ch SUI,MF,Hamburger SV,18,1998,7,3,320,0,0,0,0,1,0
2017-2018,Bundesliga,222,Christoph Janker,de GER,"DF,MF",Augsburg,32,1985,5,0,78,0,0,0,0,0,0
2017-2018,Bundesliga,223,Tony Jantschke,de GER,DF,M'Gladbach,27,1990,13,8,727,0,1,0,0,2,0
2017-2018,Bundesliga,224,Rune Jarstein,no NOR,GK,Hertha BSC,32,1984,31,31,"2,790",0,0,0,0,2,0
2017-2018,Bundesliga,225,Bakery Jatta,gm GAM,"MF,FW",Hamburger SV,19,1998,10,3,297,0,1,0,0,1,0
2017-2018,Bundesliga,226,Tin Jedvaj,hr CRO,DF,Leverkusen,21,1995,10,6,599,0,0,0,0,1,0
2017-2018,Bundesliga,227,Aron Jóhannsson,us USA,"MF,FW",Werder Bremen,26,1990,12,2,276,1,0,0,0,0,0
2017-2018,Bundesliga,228,Fabian Johnson,us USA,"MF,FW",M'Gladbach,29,1987,10,5,465,1,0,0,0,0,0
2017-2018,Bundesliga,229,Miloš Jojić,rs SRB,"MF,FW",Köln,25,1992,25,17,"1,459",2,5,0,0,3,0
2017-2018,Bundesliga,230,Jonathas,br BRA,FW,Hannover 96,28,1989,12,7,634,3,3,1,1,2,0
2017-2018,Bundesliga,231,Nigel de Jong,nl NED,MF,Mainz 05,32,1984,11,10,737,0,0,0,0,2,0
2017-2018,Bundesliga,232,Luka Jović,rs SRB,FW,Eint Frankfurt,19,1997,22,9,936,8,1,0,0,2,0
2017-2018,Bundesliga,233,Gideon Jung,de GER,"MF,DF",Hamburger SV,22,1994,30,29,"2,570",1,1,0,0,7,1
